Date,Purpose,From,To,Miles
2026-01-08,CS-1042 signing,Home,Riverside,24
2026-01-11,ST-9981 signing,Home,Downtown,18
2026-01-14,BR-204 signing,Home,Lakewood,32
2026-01-16,CS-1051 signing,Home,Midtown,12
2026-01-21,ST-1007 signing,Home,Eastside,27
2026-01-24,CS-1063 signing,Home,Hillcrest,38
2026-01-28,BR-219 signing,Home,Parkview,21
2026-02-02,ST-1041 signing,Home,Northgate,16
2026-02-05,CS-1079 apostille,Home,City Hall,9
2026-02-09,BR-233 signing,Home,Westend,44
2026-02-18,CS-1090 signing,Home,Bayfront,28
2026-02-22,BR-248 signing,Home,Southside,19
2026-02-27,ST-1090 signing,Home,Uptown,33
2026-03-03,CS-1108 signing,Home,Riverside,22
